Date,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
2017-10-04,DRREDDY,EQ,2017-10-04,2335.55,2342.0,2398.4,2319.55,2392.0,2387.6,2368.38,1187980,2813584718.0,58154,460222,38.74,2017,10,2.23,Positive,0.06055430172202808,2288.7261904761913,2195.882352941176,HODL,2337.6535714285715,83.71827404659615,2505.090119521764,2170.217023335379
2017-10-05,DRREDDY,EQ,2017-10-05,2387.6,2392.0,2428.4,2376.0,2379.05,2389.15,2400.83,759504,1823439898.8,28910,152902,20.13,2017,10,0.06,Slight,0.05880195010299856,2297.2976190476197,2207.1735294117643,HODL,2347.3535714285717,81.02291808800025,2509.3994076045724,2185.307735252571
2017-10-06,DRREDDY,EQ,2017-10-06,2389.15,2395.0,2409.9,2368.0,2377.0,2375.85,2382.66,533762,1271773959.4,27974,110400,20.68,2017,10,-0.56,Slight negative,0.055474763758910396,2305.819047619048,2217.897058823529,HODL,2359.1142857142863,71.07911201496147,2501.2725097442094,2216.9560616843632
2017-10-09,DRREDDY,EQ,2017-10-09,2375.85,2380.0,2433.0,2379.25,2409.85,2408.95,2414.28,633048,1528354478.35,34288,143159,22.61,2017,10,1.39,Positive,0.04537566206608937,2314.580952380953,2230.4544117647056,HODL,2371.035714285714,63.530118322463395,2498.095950930641,2243.9754776407876
2017-10-10,DRREDDY,EQ,2017-10-10,2408.95,2419.7,2431.25,2401.6,2409.0,2411.35,2419.95,316335,765514347.05,16410,73296,23.17,2017,10,0.1,Slight,0.03554094204220487,2326.430952380953,2244.5794117647056,HODL,2383.1642857142856,52.08591064685673,2487.336107007999,2278.992464420572
2017-10-11,DRREDDY,EQ,2017-10-11,2411.35,2409.9,2420.05,2351.4,2375.0,2372.15,2386.46,450295,1074611266.15,18538,125193,27.8,2017,10,-1.63,Negative,0.0331970438863033,2336.5571428571434,2255.9911764705876,HODL,2387.2678571428573,48.410466951268006,2484.0887910453935,2290.446923240321
2017-10-12,DRREDDY,EQ,2017-10-12,2372.15,2397.0,2397.0,2358.5,2380.0,2379.85,2377.22,416094,989145174.7,26030,124418,29.9,2017,10,0.32,Slight,0.033201066460032826,2346.7523809523814,2266.2529411764704,HODL,2379.6464285714283,39.07716953121958,2457.8007676338675,2301.492089508989
2017-10-13,DRREDDY,EQ,2017-10-13,2379.85,2373.0,2379.6,2350.0,2354.5,2354.45,2360.99,341789,806958849.2,21750,88212,25.81,2017,10,-1.07,Negative,0.026203044206365312,2353.280952380953,2274.0852941176468,HODL,2372.2678571428564,32.372605983023895,2437.0130691089043,2307.5226451768085
2017-10-16,DRREDDY,EQ,2017-10-16,2354.45,2356.0,2411.0,2356.0,2397.75,2403.5,2388.92,386658,923695986.45,23170,129886,33.59,2017,10,2.08,Positive,0.034879005363936386,2360.430952380953,2284.5,HODL,2371.2857142857138,31.085938130460146,2433.457590546634,2309.1138380247935
2017-10-17,DRREDDY,EQ,2017-10-17,2403.5,2397.0,2397.0,2375.5,2380.1,2381.35,2383.43,307110,731973933.95,16671,106978,34.83,2017,10,-0.92,Slight negative,0.03584933765652233,2368.5333333333338,2294.479411764706,HODL,2372.0428571428565,31.200763409937316,2434.444383962731,2309.641330322982
2017-10-18,DRREDDY,EQ,2017-10-18,2381.35,2386.7,2404.0,2376.0,2389.0,2385.4,2390.51,333114,796312997.55,15907,125693,37.73,2017,10,0.17,Slight,0.032385770739947285,2375.3595238095245,2304.6705882352944,HODL,2377.8071428571425,24.547464675160654,2426.902072207464,2328.712213506821
2017-10-19,DRREDDY,EQ,2017-10-19,2385.4,2385.0,2387.0,2362.05,2376.9,2373.05,2374.37,47303,112314876.05,2637,13195,27.89,2017,10,-0.52,Slight negative,0.03245488255577358,2381.621428571429,2315.027941176471,HODL,2377.6392857142855,24.573212264359118,2426.785710243004,2328.492861185567
2017-10-23,DRREDDY,EQ,2017-10-23,2373.05,2390.1,2415.0,2352.0,2366.2,2366.2,2374.32,363956,864146410.45,23648,97701,26.84,2017,10,-0.29,Slight,0.0281815394458437,2384.07380952381,2319.4,HODL,2380.3142857142852,20.551009974919715,2421.4163056641246,2339.212265764446
2017-10-24,DRREDDY,EQ,2017-10-24,2366.2,2373.0,2382.3,2356.0,2363.65,2363.65,2367.37,194673,460863782.75,14175,86042,44.2,2017,10,-0.11,Slight,0.027874972167349063,2378.221428571429,2324.3573529411765,HODL,2382.321428571428,16.888613759735005,2416.098656090898,2348.5442010519578
2017-10-25,DRREDDY,EQ,2017-10-25,2363.65,2366.0,2395.1,2340.2,2353.05,2348.85,2369.42,295696,700628693.55,17116,120193,40.65,2017,10,-0.63,Slight negative,0.02638498907444458,2373.0357142857147,2328.4661764705884,HODL,2379.553571428571,19.00029821918121,2417.5541678669333,2341.552974990209
2017-10-26,DRREDDY,EQ,2017-10-26,2348.85,2349.4,2357.95,2315.0,2345.05,2344.35,2336.18,449242,1049509947.1,29865,216070,48.1,2017,10,-0.19,Slight,0.009593898304164445,2369.564285714286,2332.802941176471,HODL,2376.353571428571,20.933938806547655,2418.2214490416663,2334.4856938154753
2017-10-27,DRREDDY,EQ,2017-10-27,2344.35,2354.7,2410.0,2339.8,2393.65,2394.95,2382.9,434936,1036408936.05,25020,130273,29.95,2017,10,2.16,Positive,0.025165819999854542,2370.7166666666667,2337.802941176471,HODL,2377.7178571428562,21.512971106390985,2420.743799355638,2334.6919149300743
2017-10-30,DRREDDY,EQ,2017-10-30,2394.95,2396.0,2465.0,2367.05,2430.0,2438.5,2427.68,832219,2020357811.45,42866,240654,28.92,2017,10,1.82,Positive,0.030621138824735623,2377.0880952380953,2345.9205882352944,HODL,2379.8285714285707,25.82955011882509,2431.487671666221,2328.1694711909204
2017-10-31,DRREDDY,EQ,2017-10-31,2438.5,2420.0,2504.0,2390.0,2428.2,2428.15,2457.73,1957333,4810590010.85,81908,269164,13.75,2017,10,-0.42,Slight,0.03033600890690141,2379.6000000000004,2353.82205882353,HODL,2381.028571428571,27.727178518047346,2436.4829284646657,2325.5742143924763
2017-11-01,DRREDDY,EQ,2017-11-01,2428.15,2412.0,2418.65,2348.0,2355.0,2354.2,2374.21,1176092,2792287015.9,77955,540404,45.95,2017,11,-3.05,Among top losers,0.04561646035221125,2380.8119047619048,2359.364705882353,HODL,2379.7464285714277,28.5714789491356,2436.889386469699,2322.6034706731566
2017-11-02,DRREDDY,EQ,2017-11-02,2354.2,2354.2,2440.0,2354.2,2405.0,2411.4,2411.41,1239887,2989878189.1,65249,470526,37.95,2017,11,2.43,Positive,0.05192631347931053,2384.4238095238097,2365.0720588235295,HODL,2381.9999999999995,29.798193027305288,2441.5963860546103,2322.4036139453888
2017-11-03,DRREDDY,EQ,2017-11-03,2411.4,2434.7,2449.8,2392.95,2427.0,2419.1,2418.28,576646,1394493482.75,36187,170768,29.61,2017,11,0.32,Slight,0.05080180784850052,2385.9238095238097,2369.9470588235295,HODL,2386.617857142857,30.206956707300346,2447.0317705574575,2326.203943728256
2017-11-06,DRREDDY,EQ,2017-11-06,2419.1,2414.0,2419.1,2380.65,2387.45,2392.25,2401.8,283667,681310994.85,18436,127959,45.11,2017,11,-1.11,Negative,0.05291511763541999,2386.0714285714284,2375.2720588235293,HODL,2385.8142857142852,29.871078297938183,2445.5564423101614,2326.072129118409
2017-11-07,DRREDDY,EQ,2017-11-07,2392.25,2402.2,2415.0,2337.5,2385.0,2378.0,2375.25,518350,1231208902.25,25613,152198,29.36,2017,11,-0.6,Slight negative,0.048667111280257254,2386.1738095238097,2379.270588235294,HODL,2385.575,29.92296358986247,2445.420927179725,2325.7290728202747
2017-11-08,DRREDDY,EQ,2017-11-08,2378.0,2380.2,2420.0,2340.0,2354.0,2346.6,2383.96,432395,1030813886.0,33049,134538,31.11,2017,11,-1.32,Negative,0.04425264861661126,2383.204761904762,2382.360294117647,HODL,2382.803571428571,31.685324583413696,2446.1742205953983,2319.432922261744
2017-11-09,DRREDDY,EQ,2017-11-09,2346.6,2368.6,2384.1,2340.2,2374.0,2370.1,2358.89,345854,815831600.55,22818,110532,31.96,2017,11,1.0,Positive,0.046888069688016225,2381.2404761904763,2383.989705882353,SELL,2382.5928571428562,31.76488661994969,2446.1226303827557,2319.063083902957
2017-11-10,DRREDDY,EQ,2017-11-10,2370.1,2369.8,2379.9,2340.0,2341.0,2347.85,2350.42,209756,493014983.4,10452,88699,42.29,2017,11,-0.94,Slight negative,0.03616937461309181,2380.0833333333335,2379.9102941176475,BUY,2381.282142857142,32.85327876825101,2446.9887003936437,2315.57558532064
2017-11-13,DRREDDY,EQ,2017-11-13,2347.85,2354.7,2375.0,2330.05,2337.0,2344.1,2351.47,299182,703516620.35,16933,73529,24.58,2017,11,-0.16,Slight,0.022185865437090148,2378.3809523809523,2376.567647058824,HODL,2379.885714285713,34.05393024065506,2447.9935747670233,2311.777853804403
