,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
82,M&amp;M,EQ,2017-09-11,1295.4,1300.0,1330.0,1278.0,1282.6,1280.2,1291.07,1665419,2150177448.2,68418,1151845,69.16,2017,9,-1.17,Negative
83,M&amp;M,EQ,2017-09-12,1280.2,1284.0,1304.9,1278.95,1300.0,1300.75,1292.99,1061452,1372441917.95,39769,532150,50.13,2017,9,1.61,Positive
84,M&amp;M,EQ,2017-09-13,1300.75,1310.0,1320.05,1303.0,1308.0,1307.35,1316.46,2388029,3143736336.8,35552,1893940,79.31,2017,9,0.51,Slight positive
85,M&amp;M,EQ,2017-09-14,1307.35,1313.0,1313.0,1288.25,1294.0,1290.75,1294.82,715922,926991825.4,25326,389372,54.39,2017,9,-1.27,Negative
86,M&amp;M,EQ,2017-09-15,1290.75,1290.0,1304.0,1285.0,1286.0,1294.25,1294.37,840187,1087512077.15,31964,598791,71.27,2017,9,0.27,Slight
87,M&amp;M,EQ,2017-09-18,1294.25,1301.0,1306.2,1291.0,1293.4,1295.0,1299.48,651221,846246873.6,27283,371626,57.07,2017,9,0.06,Slight
88,M&amp;M,EQ,2017-09-19,1295.0,1304.0,1304.7,1288.1,1294.05,1294.75,1296.38,487526,632020751.5,17824,253733,52.05,2017,9,-0.02,Slight
89,M&amp;M,EQ,2017-09-20,1294.75,1300.1,1306.2,1289.6,1289.65,1292.45,1295.96,838237,1086325016.3,35420,500993,59.77,2017,9,-0.18,Slight
90,M&amp;M,EQ,2017-09-21,1292.45,1293.5,1296.65,1280.1,1291.0,1291.45,1290.25,485105,625904780.55,18723,274974,56.68,2017,9,-0.08,Slight
91,M&amp;M,EQ,2017-09-22,1291.45,1288.0,1297.0,1281.55,1285.45,1287.15,1287.01,858496,1104893453.95,33180,631537,73.56,2017,9,-0.33,Slight
92,M&amp;M,EQ,2017-09-25,1287.15,1282.6,1292.0,1246.0,1262.0,1260.0,1262.77,1145208,1446133638.9,67063,757153,66.11,2017,9,-2.11,Negative
93,M&amp;M,EQ,2017-09-26,1260.0,1265.3,1265.45,1242.35,1246.5,1247.15,1251.65,657247,822645186.9,56194,443124,67.42,2017,9,-1.02,Negative
94,M&amp;M,EQ,2017-09-27,1247.15,1253.0,1255.4,1224.0,1236.25,1232.0,1237.82,710275,879195196.25,33381,451389,63.55,2017,9,-1.21,Negative
95,M&amp;M,EQ,2017-09-28,1232.0,1232.0,1249.0,1225.0,1228.0,1230.55,1237.94,1541084,1907771928.9,58370,1175615,76.28,2017,9,-0.12,Slight
96,M&amp;M,EQ,2017-09-29,1230.55,1231.0,1260.5,1231.0,1258.0,1254.25,1249.84,1216715,1520693969.85,46670,896825,73.71,2017,9,1.93,Positive
97,M&amp;M,EQ,2017-10-03,1254.25,1265.0,1291.45,1252.75,1257.05,1264.3,1276.39,1785354,2278804670.5,52181,1045836,58.58,2017,10,0.8,Slight positive
98,M&amp;M,EQ,2017-10-04,1264.3,1264.0,1291.8,1256.25,1287.0,1288.75,1279.51,1178243,1507571813.2,31204,645967,54.82,2017,10,1.93,Positive
99,M&amp;M,EQ,2017-10-05,1288.75,1310.0,1316.0,1293.0,1297.0,1300.75,1308.66,2106398,2756568497.3,64582,1142718,54.25,2017,10,0.93,Slight positive
100,M&amp;M,EQ,2017-10-06,1300.75,1309.9,1321.2,1299.25,1300.0,1303.0,1309.88,912947,1195848898.2,22186,491559,53.84,2017,10,0.17,Slight
101,M&amp;M,EQ,2017-10-09,1303.0,1301.05,1312.9,1299.0,1304.9,1304.85,1305.55,417682,545303236.6,15609,242162,57.98,2017,10,0.14,Slight
102,M&amp;M,EQ,2017-10-10,1304.85,1318.0,1319.0,1301.15,1304.9,1305.1,1309.48,693721,908416952.8,39154,425714,61.37,2017,10,0.02,Slight
103,M&amp;M,EQ,2017-10-11,1305.1,1309.0,1330.25,1306.0,1316.0,1319.45,1322.88,1642780,2173200984.3,45357,1219364,74.23,2017,10,1.1,Positive
104,M&amp;M,EQ,2017-10-12,1319.45,1320.25,1341.6,1314.15,1337.45,1338.15,1335.27,824166,1100481711.75,17354,510851,61.98,2017,10,1.42,Positive
105,M&amp;M,EQ,2017-10-13,1338.15,1338.0,1345.65,1323.0,1325.0,1325.3,1331.48,541640,721181506.4,15670,342186,63.18,2017,10,-0.96,Slight negative
106,M&amp;M,EQ,2017-10-16,1325.3,1338.9,1375.9,1330.3,1367.0,1368.6,1361.86,1170290,1593768963.15,37450,606621,51.84,2017,10,3.27,Among top gainers
107,M&amp;M,EQ,2017-10-17,1368.6,1373.9,1375.5,1343.5,1371.3,1373.35,1367.16,1023744,1399623193.85,49939,643721,62.88,2017,10,0.35,Slight
108,M&amp;M,EQ,2017-10-18,1373.35,1372.0,1378.5,1362.2,1364.0,1370.55,1373.41,598422,821878512.35,24670,328139,54.83,2017,10,-0.2,Slight
109,M&amp;M,EQ,2017-10-19,1370.55,1366.75,1379.0,1360.1,1376.8,1375.75,1374.62,175195,240826138.35,4034,91902,52.46,2017,10,0.38,Slight
110,M&amp;M,EQ,2017-10-23,1375.75,1380.0,1393.95,1346.6,1362.0,1367.05,1368.16,599664,820436014.5,28670,227193,37.89,2017,10,-0.63,Slight negative
